gene_name,logFC_PA,logFC_PE,pvalue_PA,pvalue_PE,hit_annotation_PA,hit_annotation_PE
ARF3|ARF1,-0.2104515,-0.2488867,0.451167,0.3743768,no hit,no hit
RPL23,-0.7737745,-1.2370109,0.4528072,0.2356275,no hit,no hit
RPS16,-0.6640048,-1.133948,0.4546834,0.2082472,no hit,no hit
RPS27A,-0.6527722,-1.1415464,0.4574746,0.2006963,no hit,no hit
RPL30,-0.6703706,-1.0763097,0.4574993,0.2384601,no hit,no hit
RPS19,-0.615755,-1.3013651,0.4576796,0.1259548,no hit,no hit
TMED10,-0.3098274,-0.4499838,0.4577882,0.2848884,no hit,no hit
CYFIP1,0.6069145,0.6194631,0.4592128,0.4501244,no hit,no hit
RHOB,0.2059062,0.0250409,0.4599029,0.927847,no hit,no hit
RPL6,-0.6616957,-1.0933862,0.4600713,0.2281481,no hit,no hit
RPL27A,-0.6422145,-1.0844665,0.4613297,0.219772,no hit,no hit
HNRNPK,-0.3659242,-0.6599319,0.4638106,0.1936588,no hit,no hit
RPL10,-0.7253314,-1.1898856,0.4657692,0.2372063,no hit,no hit
EIF2S3,-0.5852716,-1.0671759,0.4664822,0.1915754,no hit,no hit
CASC4,-0.2819521,-0.4943941,0.4665198,0.2084111,no hit,no hit
MARS,0.285445,0.3787247,0.4684803,0.3387717,no hit,no hit
RTN3,-0.3459618,-0.3808997,0.469228,0.426264,no hit,no hit
TNFRSF10A,0.1756454,-0.1066146,0.4695083,0.6591751,no hit,no hit
RPL35A,-0.7198064,-1.0699368,0.4697412,0.2867419,no hit,no hit
RPS15A,-0.5864656,-0.8310171,0.4719482,0.3115354,no hit,no hit
RPS26,-0.7209519,-1.3299764,0.4730815,0.1930296,no hit,no hit
XRCC6,-0.4768411,-0.6544365,0.474042,0.3288321,no hit,no hit
RTN4,-0.3502438,-0.9253006,0.4781009,0.0715115,no hit,no hit
PSMA1,-0.1557183,-0.2073236,0.480169,0.3497639,no hit,no hit
PSEN1,0.2247999,0.0490752,0.4807261,0.8768522,no hit,no hit
HNRNPC,-0.5231644,-0.2451348,0.4828231,0.74095,no hit,no hit
ITGAV,0.2860721,0.2204525,0.483211,0.5879407,no hit,no hit
SLC29A1,0.3318377,0.067147,0.4856465,0.8870697,no hit,no hit
CLUH,-0.3909244,-1.0259678,0.4858443,0.0780417,no hit,no hit
LAMTOR2,-0.3259802,0.0370592,0.486554,0.936528,no hit,no hit
RPSA,-0.3792508,-1.0851253,0.4889121,0.058195,no hit,no hit
LPCAT3,0.2804523,0.4758574,0.4895819,0.2467825,no hit,no hit
RPL9,-0.6884048,-1.1384194,0.4906998,0.2597373,no hit,no hit
RAB21,0.1589412,0.3823176,0.4951388,0.111094,no hit,no hit
RAB5A,0.1992319,0.4798704,0.4966859,0.1118641,no hit,no hit
RPL12,-0.5505902,-0.8483631,0.4974307,0.2999692,no hit,no hit
FERMT2,0.372671,0.2277756,0.4990936,0.6783076,no hit,no hit
PVR,0.3589297,0.3156166,0.4998772,0.5524322,no hit,no hit
BAIAP2L1,0.3747394,0.1782274,0.5004852,0.7474485,no hit,no hit
UPF1,-0.5501691,-0.873153,0.5025846,0.2918223,no hit,no hit
ANTXR1,0.1650726,-0.1052309,0.502814,0.6681052,no hit,no hit
HRAS,0.2489713,-0.0020219,0.5035072,0.995638,no hit,no hit
RPL32,-0.6227703,-0.8883385,0.5037478,0.3432933,no hit,no hit
CCT7,0.5706808,0.4732419,0.5061346,0.5806681,no hit,no hit
C14orf166,-0.3182618,-0.7046305,0.5064785,0.1506105,no hit,no hit
LYPLA1,-0.225649,-0.1602324,0.5092508,0.6382971,no hit,no hit
PCYOX1,0.2782876,0.4072001,0.5101205,0.3384499,no hit,no hit
RPL37A,-0.6954517,-1.0447554,0.5127835,0.3290567,no hit,no hit
RAB27A,0.3211234,0.4518342,0.5132547,0.360396,no hit,no hit
BCAP31,0.2063963,0.3408285,0.5154459,0.2876308,no hit,no hit
TMED7-TICAM2|TICAM2|TMED7,-0.3779983,-0.1717446,0.5154567,0.7665532,no hit,no hit
ELAVL1,-0.3535949,-0.3485923,0.517521,0.5233957,no hit,no hit
DAGLB,-0.2105249,-0.1672868,0.5185555,0.6071934,no hit,no hit
EIF3A,-0.6053218,-1.0504894,0.5249494,0.2752273,no hit,no hit
DERL2,0.2379586,0.4816663,0.5267406,0.2076798,no hit,no hit
SLC38A2,-0.249192,-0.4364245,0.5286826,0.2752243,no hit,no hit
RPL31,-0.6298237,-1.0987274,0.5323827,0.2812822,no hit,no hit
RPL18,-0.6172557,-0.9497302,0.5330238,0.3409919,no hit,no hit
SLC35F6,-0.3537498,-0.2156407,0.5388883,0.7070423,no hit,no hit
EIF2S1,-0.443592,-0.9023143,0.5423632,0.2225104,no hit,no hit
VPS35,-0.3582235,-0.3605282,0.5447318,0.5421733,no hit,no hit
SNAP23,0.2137274,-0.0457802,0.5496468,0.8975413,no hit,no hit
CCT2,0.4682346,0.3322103,0.5502757,0.6709352,no hit,no hit
ATP6V0A1,0.133767,0.2310992,0.550355,0.3068558,no hit,no hit
ATL3,0.1245788,0.3934117,0.5551268,0.0735579,no hit,no hit
IGF2BP1,-0.4315657,-1.0102529,0.556047,0.1771116,no hit,no hit
EIF3D,-0.4998896,-0.8500947,0.5578465,0.3232649,no hit,no hit
GGH,-0.1890147,0.0564856,0.558422,0.8605734,no hit,no hit
ERO1A,0.335498,0.4630809,0.560738,0.4239533,no hit,no hit
UBL3,0.2265038,0.3035245,0.5615101,0.4382518,no hit,no hit
TMED2,-0.2907201,-0.3564787,0.5640917,0.4804389,no hit,no hit
LMAN2,-0.2106224,-0.184572,0.5645599,0.6132973,no hit,no hit
DDX1,-0.4124819,-0.7219445,0.5669151,0.3207356,no hit,no hit
RAB6A,-0.1664209,-0.01696,0.5672999,0.9533015,no hit,no hit
SIGMAR1,0.2962249,0.4722193,0.5673811,0.3652529,no hit,no hit
FUBP3,-0.4103971,-0.8228288,0.5684371,0.2591701,no hit,no hit
IMPDH2,0.2808336,0.3462835,0.5700142,0.4846863,no hit,no hit
HNRNPH1,-0.3395556,-0.2258633,0.5706895,0.705339,no hit,no hit
RAB2A,-0.2076822,-0.1124195,0.5709976,0.7583336,no hit,no hit
ILF3,-0.308851,-0.106283,0.5719814,0.8452011,no hit,no hit
ERGIC3,-0.2366223,-0.3786691,0.5732864,0.3706778,no hit,no hit
TSPAN3,-0.1988471,-0.3616053,0.5750057,0.3127074,no hit,no hit
CTSC,-0.1696138,0.0799476,0.5753976,0.791074,no hit,no hit
ECE1,0.2436509,0.331679,0.5767782,0.4490837,no hit,no hit
RAB10,0.1196336,0.0514575,0.5799264,0.8111795,no hit,no hit
SLC1A4,0.1957858,0.2219732,0.5804725,0.5314052,no hit,no hit
DAD1,0.3187158,0.6055691,0.5823772,0.3013035,no hit,no hit
ERAP1,0.236497,0.6005637,0.5824052,0.1719888,no hit,no hit
ERGIC1,-0.1197406,0.0770924,0.5872175,0.7260678,no hit,no hit
MVP,-0.3002642,-0.2576867,0.5889087,0.6424437,no hit,no hit
ITGB5,0.1654753,0.0670563,0.5889623,0.8260941,no hit,no hit
FEN1,-0.355763,-0.559013,0.593327,0.4041246,no hit,no hit
ABCE1,-0.4342123,-0.571933,0.5938391,0.4836823,no hit,no hit
RARS,0.2529848,0.4231013,0.5947519,0.3769824,no hit,no hit
EIF3L,-0.4397572,-0.865914,0.5954088,0.3011011,no hit,no hit
RECQL,-0.3839392,-0.8720744,0.5962141,0.236178,no hit,no hit
ADAM15,0.1665389,0.4820007,0.6013394,0.140979,no hit,no hit
TMED4,-0.2026178,-0.1669862,0.6029584,0.6677787,no hit,no hit
RACK1,-0.3163594,-0.8285872,0.6055898,0.1853885,no hit,no hit
HNRNPM,-0.2284365,-0.1313169,0.6104499,0.7690945,no hit,no hit
VAMP8,0.2013502,-0.201922,0.6123575,0.6113554,no hit,no hit
EIF3B,-0.3456909,-0.6229093,0.6132557,0.3662121,no hit,no hit
MOV10,-0.2701311,-0.660373,0.6144185,0.2260206,no hit,no hit
ATP6V0D1,0.1265341,0.0733311,0.6150837,0.7702152,no hit,no hit
VAMP7,-0.1345636,-0.0231325,0.6183823,0.9315266,no hit,no hit
TMED1,-0.2071635,-0.1182927,0.6201655,0.7766722,no hit,no hit
SLC38A7,-0.1965712,0.1262036,0.6209824,0.7504144,no hit,no hit
NEU1,0.1858993,0.4126054,0.623637,0.2822999,no hit,no hit
LMNA,-0.3391932,-0.1354718,0.6244,0.8445276,no hit,no hit
SPTBN1,0.3289097,0.8697761,0.625174,0.2050876,no hit,no hit
CTNNA1,0.2857709,-0.16918,0.6273821,0.7733563,no hit,no hit
EIF3H,-0.3836413,-0.9723089,0.636829,0.2391415,no hit,no hit
HEXB,-0.2378309,-0.126065,0.6387268,0.8030471,no hit,no hit
GALNT7,-0.1505094,0.0871305,0.6409552,0.7867553,no hit,no hit
ATP1B3,0.2190781,0.110101,0.6514213,0.8200051,no hit,no hit
ALDH7A1,0.2236469,0.470968,0.6521379,0.3470851,no hit,no hit
EIF3C,-0.2961329,-0.7628475,0.6553519,0.2574795,no hit,no hit
TCP1,0.4514777,0.3813473,0.6560926,0.7065899,no hit,no hit
SMC2,-0.2794817,-0.8232297,0.6566057,0.1994572,no hit,no hit
HNRNPUL1,-0.1974225,-0.1817665,0.6611425,0.6864037,no hit,no hit
EIF3E,-0.2842945,-0.7451165,0.6633951,0.2611863,no hit,no hit
CCT5,0.4482578,0.252631,0.6650111,0.8068653,no hit,no hit
MYOF,0.1932061,0.1651339,0.6668746,0.7127568,no hit,no hit
SLC7A6,0.1513299,-0.0722096,0.6678963,0.8374706,no hit,no hit
SLC7A5,0.1709859,-0.1663057,0.6695683,0.6780564,no hit,no hit
HNRNPR,-0.1750734,-0.1816969,0.6715339,0.6599363,no hit,no hit
RAB3D,0.1302096,0.2047058,0.6736617,0.509463,no hit,no hit
CSTB,-0.1945916,-0.4572256,0.6736634,0.3277294,no hit,no hit
DDB1,0.1141053,0.2921831,0.6738516,0.2876371,no hit,no hit
TMEM109,0.2182279,0.2585744,0.6739565,0.6184753,no hit,no hit
MPDU1|HBEBP2BPA,0.2067031,0.2904126,0.6740426,0.5555073,no hit,no hit
PKN2,0.269596,0.3285979,0.6749463,0.6096717,no hit,no hit
VCP,0.2506833,0.5938006,0.6751043,0.3261464,no hit,no hit
EPHX1,0.1923847,0.4878827,0.6782723,0.2989744,no hit,no hit
POFUT1,0.1123747,0.5126925,0.6804018,0.0720001,no hit,no hit
RPS21,-0.1579725,-0.9200207,0.6815525,0.0256978,no hit,no hit
IGF2R,0.1628472,0.1507547,0.681605,0.703993,no hit,no hit
CCT6A,0.4234097,0.3213645,0.683186,0.7565114,no hit,no hit
ALYREF,-0.2216727,0.055784,0.6838348,0.9181977,no hit,no hit
LNPEP,-0.1679683,-0.1241197,0.6866621,0.7654046,no hit,no hit
SEC23IP,-0.3008969,-0.8502318,0.6891947,0.2656788,no hit,no hit
ABCB6,0.1280243,0.5408159,0.6910477,0.1049927,no hit,no hit
SDCBP,0.1579079,0.5806899,0.6944958,0.1592729,no hit,no hit
HNRNPD,-0.1530716,0.0555533,0.6949514,0.8866181,no hit,no hit
TMED9,-0.2031202,-0.1722856,0.6954228,0.7396826,no hit,no hit
HSP90AB1,-0.1497072,-0.0897142,0.7006019,0.8175263,no hit,no hit
DDR1,0.1085571,-0.0233097,0.7048318,0.9350488,no hit,no hit
RAB14,-0.1168015,-0.1611457,0.7085982,0.6067444,no hit,no hit
TMEM106B,0.1905441,0.3989278,0.7094183,0.4382704,no hit,no hit
CCT4,0.3877967,0.3081591,0.7116036,0.768767,no hit,no hit
SCARB2,0.2273036,0.4324196,0.7119085,0.4845055,no hit,no hit
CCT3,0.3421406,0.2573196,0.7150574,0.7834786,no hit,no hit
FASN,-0.1526562,-0.2757642,0.7181876,0.5161753,no hit,no hit
SCPEP1,-0.1711656,-0.0589112,0.72513,0.9035318,no hit,no hit
PARP1,0.2223683,0.1464677,0.7261308,0.81736,no hit,no hit
HADHB,0.1485002,0.3449166,0.7287938,0.4240061,no hit,no hit
RTCB,-0.2222065,-0.5982079,0.7288995,0.3557466,no hit,no hit
NSUN2,-0.1779332,-0.6447477,0.7301176,0.2202538,no hit,no hit
CTSA,-0.161462,-0.1374767,0.7307816,0.7694417,no hit,no hit
NCS1,0.1121921,0.2713215,0.7311936,0.4097841,no hit,no hit
ARL6IP5,0.1643239,0.2463498,0.7320364,0.6084416,no hit,no hit
GLA,0.1524022,0.3790152,0.7329649,0.4000791,no hit,no hit
ALDH9A1,-0.1314803,0.2161166,0.73594,0.5803803,no hit,no hit
RAB9A,-0.0811041,0.0540906,0.736542,0.8223089,no hit,no hit
SND1,-0.3123217,-0.4387089,0.7411713,0.6431635,no hit,no hit
RAB7A,0.0957545,0.2065882,0.7432851,0.4822033,no hit,no hit
AHNAK,0.1050165,0.0956885,0.747424,0.7691359,no hit,no hit
GYS1,-0.1905551,-0.6397497,0.7494363,0.2904905,no hit,no hit
TFRC,-0.1011998,0.0034287,0.7522457,0.9914545,no hit,no hit
NAGLU,0.0951769,-0.0308454,0.7526414,0.918546,no hit,no hit
ATP6V1A,0.0742893,-0.0399806,0.7530904,0.865436,no hit,no hit
ATP2C1,-0.0894692,-0.1061876,0.7535843,0.70962,no hit,no hit
DDR2,-0.0790369,-0.1574708,0.7537581,0.5336436,no hit,no hit
RRBP1,-0.180493,0.0653534,0.7558633,0.9102602,no hit,no hit
TMX1,-0.1233157,0.0220703,0.759488,0.9562475,no hit,no hit
PROCR,0.1166713,0.3599981,0.7595767,0.3502955,no hit,no hit
SLC38A1,-0.1333432,-0.3693581,0.7596577,0.4008171,no hit,no hit
EIF3I,-0.1215991,-0.909898,0.7605745,0.0324603,no hit,no hit
PSMB5,-0.0850333,-0.1225236,0.761304,0.6620449,no hit,no hit
PSAP,-0.1355137,-0.0082476,0.7637644,0.985388,no hit,no hit
PTBP1,-0.1697549,-0.6011508,0.7646098,0.2957882,no hit,no hit
MYH9,0.1865761,0.2804252,0.7655799,0.6545573,no hit,no hit
DNAJA1,-0.2204496,-0.5552552,0.7661762,0.456788,no hit,no hit
EPRS,-0.1125805,-0.125285,0.7684147,0.7432274,no hit,no hit
BANF1,-0.0760968,-0.491748,0.7708271,0.0718836,no hit,no hit
PKM,-0.1189707,0.1021601,0.7719871,0.8034319,no hit,no hit
CD97,0.1270715,-0.0022931,0.7727485,0.9958372,no hit,no hit
TPP1,-0.1131493,0.120232,0.7737645,0.7600598,no hit,no hit
FAM49B,0.1053502,-0.0407488,0.7764432,0.9124582,no hit,no hit
CPA4,0.1315341,0.3069382,0.7779513,0.5125877,no hit,no hit
AIMP1,0.0843026,0.2273129,0.7852047,0.4652897,no hit,no hit
TOMM40,0.1558069,0.3128903,0.7962343,0.6050823,no hit,no hit
ATP5L,0.1392492,0.5384218,0.7968649,0.3257173,no hit,no hit
YARS,0.0936667,0.0917299,0.7984965,0.8025687,no hit,no hit
HEXA,-0.1304777,0.0904322,0.7994882,0.8601895,no hit,no hit
LRP1,-0.0884887,-0.1882392,0.802489,0.5957946,no hit,no hit
PSMA6,-0.0790482,-0.1002187,0.8025318,0.7513365,no hit,no hit
HFE,-0.0633784,-0.1349335,0.812673,0.6148657,no hit,no hit
CSRP1,-0.144154,0.3807524,0.8143225,0.5369149,no hit,no hit
ARL8B,-0.07897,-0.1170163,0.8170548,0.7319887,no hit,no hit
SRP9,-0.0628013,-0.2270302,0.8244172,0.4263129,no hit,no hit
PDLIM1,0.0628402,0.3823953,0.8247736,0.1882691,no hit,no hit
SLC39A14,0.0772715,-0.1539015,0.8265446,0.6631376,no hit,no hit
PDCD4,-0.1259747,-0.4801519,0.8317181,0.421892,no hit,no hit
PPT1,-0.0854106,0.0349463,0.8379196,0.9332663,no hit,no hit
CDC2|CDK1,-0.1187053,-0.3084831,0.8424946,0.6067294,no hit,no hit
CTSD,-0.0898063,-0.1605212,0.8463845,0.7294295,no hit,no hit
GBA,0.0825128,0.2852768,0.8464854,0.5056893,no hit,no hit
NSF,-0.122332,-0.1084306,0.8513473,0.8680612,no hit,no hit
SLC7A1,-0.0636021,-0.331782,0.8565324,0.3512966,no hit,no hit
VLDLR,-0.0737174,-0.3844171,0.8565649,0.351565,no hit,no hit
PRPF19,0.0708285,0.1949323,0.8592001,0.6263926,no hit,no hit
ZDHHC20,0.043056,-0.1573023,0.8599042,0.5212706,no hit,no hit
DHX9,-0.1075302,0.228274,0.8607339,0.7099837,no hit,no hit
GALNT2,0.0812879,0.0380946,0.8675514,0.9376862,no hit,no hit
PPA2,0.0608126,0.2148074,0.8682336,0.5595905,no hit,no hit
RAB5C,0.0517004,0.1389822,0.8700332,0.6607945,no hit,no hit
KPNA2,0.0419851,0.098318,0.870911,0.7040141,no hit,no hit
SLC16A3,-0.0699334,-0.4148181,0.8714253,0.3429709,no hit,no hit
ACP2,0.0928626,0.3662572,0.8763927,0.5415403,no hit,no hit
HIST1H4A,-0.122218,0.2442689,0.8797828,0.7626573,no hit,no hit
YIF1B,-0.0600393,-0.2527999,0.8836737,0.5398689,no hit,no hit
PRKDC,0.0878348,0.0620125,0.8876082,0.9205066,no hit,no hit
KHSRP,-0.0261144,-0.2753133,0.8918171,0.1629189,no hit,no hit
IARS,0.0727343,0.2864244,0.8929414,0.5974649,no hit,no hit
SLC3A2,0.0435545,-0.0473317,0.9004529,0.8918751,no hit,no hit
HNRNPU,0.0680859,0.2218324,0.9049979,0.6979303,no hit,no hit
ILF2,-0.0524385,-0.138628,0.9057428,0.7545349,no hit,no hit
SEC22B,-0.0333094,-0.0596189,0.9063033,0.8332149,no hit,no hit
CLIC1,-0.0262637,-0.472471,0.9088678,0.0510675,no hit,no hit
CPD,-0.0400661,-0.2129421,0.910731,0.5531499,no hit,no hit
DDX5,-0.0598607,0.3519765,0.9112142,0.5144844,no hit,no hit
NPC1,0.0517273,0.2383349,0.9151675,0.6246705,no hit,no hit
GLB1,0.0356149,0.2081011,0.9373261,0.6468527,no hit,no hit
SERINC1,0.0357022,0.1605051,0.9426638,0.7467786,no hit,no hit
PRSS56,-0.0237832,-0.1718653,0.9443177,0.6149892,no hit,no hit
COTL1,-0.0221659,-0.2204299,0.9488216,0.525592,no hit,no hit
SRP14,-0.0416633,-0.0499319,0.9502728,0.9404222,no hit,no hit
NAPG,-0.0155178,-0.3614983,0.9519423,0.1714763,no hit,no hit
RAB4A,0.0141311,-0.1636162,0.952299,0.4914075,no hit,no hit
ERP44,0.0170711,-0.0037553,0.9549588,0.9900864,no hit,no hit
IL6ST,0.0147408,-0.0802392,0.9589332,0.779483,no hit,no hit
LAMP1,-0.0208422,0.2776255,0.9605424,0.512425,no hit,no hit
EIF3J,-0.0234196,-0.5000801,0.9611731,0.3056907,no hit,no hit
HSP90AA1,-0.0190077,-0.1032756,0.9632116,0.802282,no hit,no hit
SRP72,0.0201781,0.0322529,0.9688414,0.9502171,no hit,no hit
FSCN1,0.0184615,0.208242,0.9713632,0.6862032,no hit,no hit
PRDX4,-0.0146193,0.4215892,0.9714058,0.3083293,no hit,no hit
STK26,-0.0033419,0.0810178,0.9840069,0.6281173,no hit,no hit
CD63,0.0088463,0.2716092,0.9888679,0.6691684,no hit,no hit
SPTAN1,0.0098815,0.5237709,0.9892468,0.4781006,no hit,no hit
LMAN1,-0.0089397,-0.0809709,0.9903722,0.9129827,no hit,no hit
DDX17,0.0016574,-0.1396869,0.9962328,0.6913271,no hit,no hit
GAPDH,0.0024854,-0.0249406,0.9968991,0.968891,no hit,no hit
RRAS,0.0003442,0.3152153,0.9991908,0.3586577,no hit,no hit
HNRNPF,-0.0001318,-0.4538482,0.9998786,0.6018054,no hit,no hit
,,,,,,
